DYNAMIXEL Graph,3
ItemCount,3
-1,311,MX-64(2.0),Realtime Tick,#000000,0
-1,311,MX-64(2.0),Present Position,#ffff00,0
-1,311,MX-64(2.0),Present Velocity,#ff0000,0
Time[ms],Realtime Tick,Present Position,Present Velocity
16488,31417,308,0
16508,31437,308,0
16528,31457,374,41
16548,31477,461,160
16568,31497,536,236
16588,31517,570,216
16608,31537,591,134
16628,31557,666,122
16648,31577,754,204
16668,31597,845,259
16688,31617,918,272
16707,31636,948,226
16728,31657,959,128
16748,31677,962,58
16768,31697,962,21
16788,31717,961,6
16808,31737,962,2
16828,31757,968,5
16848,31777,973,13
16868,31797,973,11
16888,31817,973,5
16908,31837,974,2
16928,31857,973,0
16948,31877,974,0
16968,31897,974,0
16988,31917,974,0
17008,31937,973,0
17028,31957,908,-40
17048,31977,820,-161
17068,31997,730,-245
17088,32017,641,-276
17108,32037,587,-262
17128,32057,518,-213
17148,32077,465,-206
17168,32097,444,-163
17188,32117,438,-90
17208,32137,436,-40
17228,32157,427,-21
17248,32177,422,-22
17268,32197,420,-17
17288,32217,420,-8
17308,32237,420,-2
17328,32257,420,0
17348,32277,420,0
17369,32298,420,0
17388,32317,420,0
17408,32337,422,0
17428,32357,450,22
17448,32377,469,59
17468,32397,476,54
17488,32417,477,29
17508,32437,488,12
17528,32457,562,67
17548,32477,651,186
17568,32497,741,255
17588,32517,833,279
17608,32537,909,280
17628,32557,979,255
17648,32577,1017,214
17668,32597,1031,139
17688,32617,1034,68
17708,32637,1034,26
17728,32657,1034,8
17748,32677,1034,2
17768,32697,1034,0
17788,32717,1034,0
17808,32737,1034,0
17828,32757,1034,0
17847,9,1034,0
17867,29,1034,0
17887,49,1034,0
17907,69,1035,0
17927,89,973,-35
17947,109,886,-153
17967,129,795,-241
17987,149,711,-273
18007,169,657,-249
18027,189,576,-217
18047,209,487,-246
18067,229,396,-275
18087,249,328,-275
18107,269,300,-212
18127,289,284,-125
18147,309,277,-70
18167,329,276,-34
18187,349,276,-12
18207,369,276,-3
18227,389,276,-1
18247,409,276,0
18267,429,276,0
18287,449,276,0
18307,469,276,0
18327,489,285,4
18347,509,292,20
18367,529,295,22
18387,549,296,12
18407,569,306,6
18427,589,379,65
18447,609,469,184
18467,629,559,252
18487,649,651,278
18507,669,731,285
18527,689,815,268
18547,709,892,264
18567,729,932,232
18587,749,945,145
18607,769,949,69
18627,789,955,32
18647,809,958,20
18667,829,959,12
18687,849,959,5
18707,869,959,1
18727,889,958,0
18747,909,959,0
18767,929,959,0
18787,949,959,0
18806,968,959,0
18827,989,909,-32
18847,1009,870,-107
18867,1029,853,-108
18887,1049,849,-63
18907,1069,845,-29
18927,1089,777,-59
18947,1109,688,-173
18967,1129,598,-250
18987,1149,506,-279
19007,1169,420,-286
19027,1189,368,-259
19047,1209,348,-178
19067,1229,342,-91
19087,1249,342,-37
19107,1269,342,-12
19127,1289,335,-8
19147,1309,329,-16
19167,1329,327,-15
19187,1349,327,-8
19207,1369,327,-2
19227,1389,327,0
19247,1409,327,0
19267,1429,327,0
19287,1449,327,0
19307,1469,334,0
19327,1489,408,61
19347,1509,488,179
19367,1529,527,206
19387,1549,542,140
19407,1569,546,69
19427,1589,609,67
19447,1609,696,167
19467,1629,786,246
19487,1649,876,276
19507,1669,967,286
19527,1689,1049,286
19547,1709,1091,244
19567,1729,1103,151
19587,1749,1106,69
19607,1769,1106,26
19627,1789,1106,8
19647,1809,1106,2
19667,1829,1106,0
19687,1849,1106,0
19707,1869,1106,0
19727,1889,1103,-1
19747,1909,1095,-11
19767,1929,1091,-17
19787,1949,1091,-11
19807,1969,1081,-5
19827,1989,1007,-66
19847,2009,919,-186
19867,2029,828,-255
19887,2049,745,-277
19907,2069,694,-246
19927,2089,613,-212
19947,2109,523,-245
19967,2129,434,-274
19987,2149,379,-262
20007,2169,358,-184
20027,2189,346,-99
20047,2209,339,-53
20067,2229,338,-27
20087,2249,338,-11
20107,2269,338,-3
20127,2289,338,-1
20147,2309,338,0
20167,2329,338,0
20187,2349,338,0
20207,2369,338,0
20227,2389,339,0
20247,2409,341,2
20267,2429,341,3
20287,2449,341,1
20307,2469,342,0
20327,2489,406,42
20347,2509,492,160
20367,2529,582,242
20387,2549,674,275
20407,2569,753,280
20427,2589,837,266
20447,2609,894,251
20467,2629,915,183
20487,2649,921,96
20507,2669,922,40
20527,2689,922,13
20547,2709,922,4
20567,2729,922,1
20587,2749,922,0
20607,2769,922,0
20627,2789,922,0
20647,2809,922,0
20667,2829,922,0
20687,2849,922,0
20707,2869,922,0
20727,2889,858,-40
20747,2909,778,-159
20767,2929,736,-202
20787,2949,720,-142
20807,2969,705,-73
20827,2989,629,-98
20847,3009,540,-200
20867,3029,449,-259
20887,3049,358,-282
20907,3069,268,-288
20927,3089,195,-282
20947,3109,163,-224
20967,3129,153,-128
20987,3149,151,-56
21007,3169,151,-20
21027,3189,151,-6
21047,3209,151,-1
